district,seed_url,notes
Carson City,https://www.carsoncityschools.com/,
Churchill,https://www.churchillcsd.com/,
Clark,https://www.ccsd.net/schools/,
Douglas,https://www.dcsd.net/,
Elko,https://www.ecsdnv.net/,
Esmeralda,https://esmeralda.k12.nv.us/en-US,
Eureka,https://www.ecsdnv.org/,
Humboldt,https://www.hcsdnv.com/,
Lander,https://www.lander.k12.nv.us/,
Lincoln,https://www.lcsdnv.com/,
Lyon,https://www.lyoncsd.org/,
Mineral,,"district website did not resolve, enter times by hand"
Nye,https://www.nye.k12.nv.us/,
Pershing,,"district website did not resolve, enter times by hand"
Storey,,"site certificate error, enter times by hand"
Washoe,https://www.washoeschools.net/,
White Pine,https://www.whitepine.k12.nv.us/,
State Public Charter Schools,https://charterschools.nv.gov/,
