nrc_school_code,school_name,district,start_time,source_url,notes,already_collected,already_collected_source
01401,Churchill County High School,Churchill,,,,,
02320,Sandy Valley Jr/Sr High School,Clark,,,,7:55 AM,district document
02321,Laughlin Jr/Sr High School,Clark,,,,7:30 AM,district document
02330,West Preparatory Academy at Charles I. West Hall,Clark,,,,8:00 AM,district document
02363,Innovations International Charter School of NV ,Clark,,,,,
02401,Ed W. Clark High School,Clark,,,,,
02402,Las Vegas High School,Clark,,,,7:00 AM,district document
02403,Rancho High School,Clark,,,,7:00 AM,district document
02404,Valley High School International Baccalaureate and Academy of Hospitality and Tourism,Clark,,,,7:10 AM,district document
02405,Western High School,Clark,,,,7:00 AM,district document
02406,Basic High School,Clark,,,,7:00 AM,district document
02409,Chaparral High School,Clark,,,,7:00 AM,district document
02410,Eldorado High School,Clark,,,,7:00 AM,district document
02411,Bonanza High School,Clark,,,,7:00 AM,district document
02412,Southeast Career and Technical Academy,Clark,,,,,
02414,Cimarron-Memorial High School,Clark,,,,7:00 AM,district document
02415,Cheyenne High School,Clark,,,,7:00 AM,district document
02416,Green Valley High School,Clark,,,,7:00 AM,district document
02417,Durango High School,Clark,,,,7:00 AM,district document
02418,Las Vegas Academy of the Arts,Clark,,,,7:00 AM,district document
02420,Advanced Technologies Academy,Clark,,,,7:25 AM,district document
02421,Silverado College Preparatory & Career/Technical High School,Clark,,,,7:00 AM,district document
02422,College of Southern Nevada High School East,Clark,,,,,
02423,College of Southern Nevada High School West,Clark,,,,,
02424,Mojave High School,Clark,,,,7:00 AM,district document
02425,Palo Verde High School,Clark,,,,7:00 AM,district document
02426,College of Southern Nevada High School South,Clark,,,,,
02427,Shadow Ridge High School,Clark,,,,7:00 AM,district document
02428,Liberty High School,Clark,,,,7:00 AM,district document
02429,Canyon Springs High School and the Leadership and Law Preparatory Academy,Clark,,,,7:00 AM,district document
02430,Del Sol Academy of the Performing Arts,Clark,,,,,
02431,Spring Valley High School,Clark,,,,7:00 AM,district document
02432,Veterans Tribute Career and Technical Academy,Clark,,,,7:25 AM,district document
02433,Southwest Career and Technical Academy,Clark,,,,,
02434,Sunrise Mountain High School,Clark,,,,7:00 AM,district document
02435,West Career and Technical Academy,Clark,,,,,
02601,Boulder City High School,Clark,,,,7:00 AM,district document
02602,Moapa Valley Innovative High School,Clark,,,,7:15 AM,district document
02603,Virgin Valley High School,Clark,,,,7:15 AM,district document
02604,Indian Springs High School,Clark,,,,8:00 AM,district document
02607,Centennial High School,Clark,,,,7:00 AM,district document
02608,Foothill High School,Clark,,,,7:00 AM,district document
02609,Institute for Integrated Studies at Desert Pines High School,Clark,,,,,
02611,Sierra Vista High School,Clark,,,,7:00 AM,district document
02612,Coronado High School,Clark,,,,7:00 AM,district document
02614,Odyssey Charter High School,Clark,,,,,
02616,Explore Knowledge Academy Charter Secondary,Clark,,,,,
02618,Arbor View High School,Clark,,,,7:00 AM,district document
02619,Legacy High School,Clark,,,,7:00 AM,district document
02620,Northwest Career and Technical Academy,Clark,,,,,
02621,Delta Academy,Clark,,,,,
02623,Desert Oasis High School,Clark,,,,7:00 AM,district document
02624,East Career and Technical Academy,Clark,,,,7:00 AM,district document
02941,Clark Adult Program,Clark,,,,,
02625,Nevada Learning Academy at CCSD,Clark,,,,,
03501,Douglas High School,Douglas,,,,,
03502,George Whittell High School,Douglas,,,,,
04603,Elko High School,Elko,,,,,
04606,Spring Creek High School,Elko,,,,,
04607,West Wendover High School,Elko,,,,,
04610,Northeastern Nevada Virtual Academy,Elko,,,,,
06601,Eureka County High School,Eureka,,,,,
07501,Albert M. Lowry High School,Humboldt,,,,,
08601,Battle Mountain High School,Lander,,,,,
09501,Lincoln County High School,Lincoln,,,,,
10601,Fernley High School,Lyon,,,,,
10602,Smith Valley Schools,Lyon,,,,,
10603,Yerington High School,Lyon,,,,,
10605,Silver Stage High School,Lyon,,,,,
11601,Mineral County High School,Mineral,,,,,
12601,Beatty High School,Nye,,,,,
12603,Tonopah High School,Nye,,,,,
12604,Pahrump Valley High School,Nye,,,,,
13501,Carson High School,Carson City,,,,,
13903,Pioneer Academy,Carson City,,,,,
14601,Pershing County High School,Pershing,,,,,
15601,Virginia City High School,Storey,,,,,
16312,Coral Academy High School,Washoe,,,,,
16501,EARL WOOSTER HIGH SCHOOL,Washoe,,,,,
16502,RENO HIGH SCHOOL,Washoe,,,,,
16503,SPARKS HIGH SCHOOL,Washoe,,,,,
16504,PROCTER R. HUG HIGH SCHOOL,Washoe,,,,,
16505,EDWARD C. REED HIGH SCHOOL,Washoe,,,,,
16508,ROBERT MCQUEEN HIGH SCHOOL,Washoe,,,,,
16509,GALENA HIGH SCHOOL,Washoe,,,,,
16602,INCLINE HIGH SCHOOL,Washoe,,,,,
16603,TMCC MAGNET SCHOOL,Washoe,,,,,
