nrc_school_code,school_name,district,city,school_type,grade_levels,act_composite,grad_rate,outcome_censored,ela_proficient_pct,math_proficient_pct,chronic_absent_pct,enrollment_nrc,el_pct,iep_pct,frl_pct_reported,ncessch,lea_name,locale_group,charter,enrollment_ccd,latitude,longitude,frl_pct_ccd,direct_cert_pct,start_minutes,start_time_source,start_time_url,school_id,enrollment,poverty_pct,enrollment_1000,start_hours,start_group,poverty_band
01401,Churchill County High School,Churchill,Fallon,Regular School,09-12,17.07,79.75,False,45.3,17.9,39.6,1054.0,3.7,16.6,100.0,320003000001,CHURCHILL COUNTY SCHOOL DISTRICT,Town,0,1054.0,39.463251,-118.784108,100.0,40.79696394686907,,,,01401,1054.0,40.79696394686907,1.054,,,Upper middle
02320,Sandy Valley Jr/Sr High School,Clark,Sandy Valley,Regular School,06-12,16.53,97.5,True,41.1,14.7,35.4,188.0,14.9,13.3,100.0,320006000304,CLARK COUNTY SCHOOL DISTRICT,Rural,0,188.0,35.813294,-115.610032,100.0,60.1063829787234,475.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02320,188.0,60.1063829787234,0.188,7.916666666666667,Early,Highest poverty
02321,Laughlin Jr/Sr High School,Clark,Laughlin,Regular School,06-12,15.88,81.25,False,35.4,8.3,44.7,395.0,6.1,13.7,100.0,320006000408,CLARK COUNTY SCHOOL DISTRICT,Rural,0,395.0,35.163729,-114.614471,99.49367088607596,57.9746835443038,450.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02321,395.0,57.9746835443038,0.395,7.5,Early,Highest poverty
02330,West Preparatory Academy at Charles I. West Hall,Clark,Las Vegas,Regular School,06-12,16.3,93.98,False,34.1,18.2,42.5,1231.0,25.7,16.3,100.0,320006000460,CLARK COUNTY SCHOOL DISTRICT,City,0,1231.0,36.194116,-115.167043,99.91876523151907,72.38017871649066,480.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02330,1231.0,72.38017871649066,1.231,8.0,Late,Highest poverty
02363,Innovations International Charter School of NV ,Clark,Las Vegas,District Sponsored Charter School,06-12,14.36,85.71,False,28.0,2.5,50.7,346.0,26.9,16.2,100.0,320006000749,CLARK COUNTY SCHOOL DISTRICT,City,1,346.0,36.144524,-115.141544,100.0,65.02890173410404,,,,02363,346.0,65.02890173410404,0.346,,,Highest poverty
02401,Ed W. Clark High School,Clark,Las Vegas,Regular School,09-12,17.62,86.07,False,43.7,25.4,46.8,3094.0,24.5,10.9,100.0,320006000030,CLARK COUNTY SCHOOL DISTRICT,City,0,3094.0,36.136305,-115.198001,99.96767937944408,55.268261150614094,,,,02401,3094.0,55.268261150614094,3.094,,,Highest poverty
02402,Las Vegas High School,Clark,Las Vegas,Regular School,09-12,15.14,93.49,False,27.0,7.9,56.5,2737.0,24.4,10.4,100.0,320006000065,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2737.0,36.146428,-115.032792,99.9634636463281,52.75849470222872,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02402,2737.0,52.75849470222872,2.737,7.0,Early,Highest poverty
02403,Rancho High School,Clark,Las Vegas,Regular School,09-12,15.71,93.9,False,29.9,14.3,44.9,3064.0,21.9,10.6,100.0,320006000089,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,3064.0,36.185561,-115.1227,100.0,59.10574412532637,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02403,3064.0,59.10574412532637,3.064,7.0,Early,Highest poverty
02404,Valley High School International Baccalaureate and Academy of Hospitality and Tourism,Clark,Las Vegas,Regular School,09-12,14.7,84.29,False,21.6,7.3,61.6,2714.0,27.7,11.4,100.0,320006000107,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2714.0,36.138354,-115.121895,99.96315401621224,62.7855563743552,430.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02404,2714.0,62.7855563743552,2.714,7.166666666666667,Early,Highest poverty
02405,Western High School,Clark,Las Vegas,Regular School,09-12,14.07,81.03,False,13.9,2.5,57.3,2949.0,30.9,13.3,100.0,320006000114,CLARK COUNTY SCHOOL DISTRICT,City,0,2949.0,36.176163,-115.202879,99.96609020006782,63.47914547304171,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02405,2949.0,63.47914547304171,2.949,7.0,Early,Highest poverty
02406,Basic High School,Clark,Henderson,Regular School,09-12,15.8,91.27,False,37.4,9.7,49.9,2605.0,9.9,15.7,100.0,320006000007,CLARK COUNTY SCHOOL DISTRICT,City,0,2605.0,36.033947,-114.962065,99.8464491362764,48.94433781190019,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02406,2605.0,48.94433781190019,2.605,7.0,Early,Highest poverty
02409,Chaparral High School,Clark,Las Vegas,Regular School,09-12,13.93,74.63,False,12.2,2.5,59.4,2256.0,24.7,14.0,100.0,320006000018,CLARK COUNTY SCHOOL DISTRICT,City,0,2256.0,36.119976,-115.087715,99.91134751773048,61.87943262411348,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02409,2256.0,61.87943262411348,2.256,7.0,Early,Highest poverty
02410,Eldorado High School,Clark,Las Vegas,Regular School,09-12,14.74,87.74,False,25.6,7.4,56.3,2084.0,26.6,14.6,100.0,320006000032,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2084.0,36.180519,-115.049452,99.95201535508636,55.326295585412666,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02410,2084.0,55.326295585412666,2.084,7.0,Early,Highest poverty
