school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
16K498,Brooklyn High School for Law and Technology,Brooklyn,New York City,480.0,8am,K987,76.2,0.0,1.6,85.0,49.0,126.0,81.2,6.1,22.1,589.0,Screened,8.0,False,0.589,8.0,Early,Upper middle
17K524,International High School at Prospect Heights,Brooklyn,New York City,527.0,8:47am,K440,49.0,0.0,13.5,88.0,53.0,104.0,95.9,87.8,4.1000000000000005,368.0,Screened,2.0,False,0.368,8.783333333333333,Late,Highest poverty
02M531,Repertory Company High School for Theatre Arts,Manhattan,New York City,495.0,8:15am,M896,100.0,33.9,0.0,91.0,87.0,59.0,54.1,0.4,16.900000000000002,237.0,Audition,6.0,False,0.237,8.25,Late,Lowest poverty
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,New York City,500.0,8:20am,M970,77.4,0.0,6.0,91.0,60.0,84.0,78.0,4.3,23.4,560.0,Screened,5.0,False,0.56,8.333333333333334,Late,Upper middle
15K423,Brooklyn Frontiers High School,Brooklyn,New York City,500.0,8:20am,K520,14.9,0.0,42.6,76.0,,101.0,78.2,4.9,41.8,184.0,Other,1.0,False,0.184,8.333333333333334,Late,Upper middle
03M291,West End Secondary School,Manhattan,New York City,540.0,9am,M837,,,,,,,18.1,0.5,21.5,432.0,Screened,13.0,False,0.432,9.0,Late,Lowest poverty
24Q299,Bard High School Early College Queens,Queens,New York City,540.0,9am,Q735,97.2,0.0,0.0,97.0,94.0,141.0,40.400000000000006,0.2,5.3,643.0,Screened,32.0,False,0.643,9.0,Late,Lowest poverty
17K408,Academy of Hospitality and Tourism,Brooklyn,New York City,480.0,8am,K465,86.1,0.0,5.6,82.0,30.0,36.0,80.60000000000001,20.4,20.9,196.0,Educational option,2.0,False,0.196,8.0,Early,Upper middle
19K683,School for Classics High School,Brooklyn,New York City,480.0,8am,K218,68.5,2.7,20.5,84.0,28.000000000000004,73.0,89.7,26.700000000000003,21.9,270.0,Educational option,2.0,False,0.27,8.0,Early,Highest poverty
02M407,Institute for Collaborative Education (ICE),Manhattan,New York City,480.0,8am,M475,92.5,0.0,0.0,92.0,75.0,67.0,35.099999999999994,0.4,16.5,486.0,Screened,13.0,False,0.486,8.0,Early,Lowest poverty
27Q302,"Queens High School for Information, Research, and Technology",Queens,New York City,500.0,8:20am,Q465,80.3,11.4,12.1,84.0,31.0,132.0,79.9,21.7,20.6,466.0,Educational option,7.0,False,0.466,8.333333333333334,Late,Upper middle
12X251,Explorations Academy,Bronx,New York City,480.0,8am,X098,64.0,7.0,18.0,81.0,37.0,100.0,91.2,21.8,26.4,326.0,Educational option,3.0,False,0.326,8.0,Early,Highest poverty
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,New York City,480.0,8am,M485,98.6,80.2,0.1,95.0,82.0,716.0,29.3,0.2,3.4000000000000004,2760.0,Audition,,False,2.76,8.0,Early,Lowest poverty
