variable,label,n_present,n_missing,mean,std_dev,minimum,median,maximum
start_minutes,start_minutes,38,79,427.7631578947368,16.95372750296128,420.0,420.0,480.0
start_hours,Start time (per hour later),38,79,7.129385964912281,0.28256212504935474,7.0,7.0,8.0
act_composite,ACT composite score,115,2,17.73,2.9646138176361685,12.75,17.01,34.17
grad_rate,Four year graduation rate (percent),116,1,89.0473275862069,13.087878983027114,2.5,92.13,97.5
ela_proficient_pct,ELA proficiency (percent),116,1,48.70344827586207,22.801338370461018,9.3,45.0,97.5
math_proficient_pct,Math proficiency (percent),116,1,23.095689655172414,18.497541045707436,2.5,18.45,93.5
chronic_absent_pct,Chronic absenteeism (percent),114,3,33.44736842105264,16.603263409503736,2.5,34.9,72.1
direct_cert_pct,Direct certification rate (percent),117,0,32.42164096138575,18.69501322568891,0.0658039043649923,29.456066945606693,72.38017871649066
frl_pct_ccd,frl_pct_ccd,117,0,65.09084788751544,38.66717485697393,0.0658039043649923,99.800796812749,100.0
el_pct,English learners (percent),96,21,10.316666666666666,8.745581340451654,0.0,6.6,30.9
enrollment,enrollment,117,0,1435.3846153846155,1097.6457003762082,105.0,1362.0,4559.0
