model_number,specification,controls,outcome,outcome_label,coefficient,std_error,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,note
1,Unadjusted,none,act_composite,ACT composite score,0.7957265697494564,1.1900762697670924,-1.5367800578498183,3.128233197348731,0.5037283815509315,38.0,0.009567088689749648,-0.01794493662442398,
2,Plus poverty,Direct certification rate (percent),act_composite,ACT composite score,2.191535572900543,1.4831700345534387,-0.715424277773224,5.09849542357431,0.13951423697535498,38.0,0.720472807057463,0.7044998246036037,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",act_composite,ACT composite score,3.4931965506240594,1.194781361211646,1.151468113249492,5.834924987998627,0.0034588465207864537,36.0,0.7712257406616906,0.7417064813922313,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",act_composite,ACT composite score,2.9292167391074244,1.1991295565372526,0.5789659954969228,5.279467482717926,0.014574381760579848,36.0,0.8498272840635109,0.8122841050793886,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",act_composite,ACT composite score,,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,grad_rate,Four year graduation rate (percent),6.346103309619574,2.6416144257584473,1.1686341740915607,11.523572445147586,0.016289761649957685,38.0,0.08072576284300548,0.055190367366422355,
2,Plus poverty,Direct certification rate (percent),grad_rate,Four year graduation rate (percent),8.939767017013711,2.8370444846310248,3.379262004598904,14.500272029428519,0.0016266539937489963,38.0,0.4063623156357643,0.3724401622435223,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",grad_rate,Four year graduation rate (percent),15.44901540313105,5.012575634065481,5.624547690579682,25.273483115682417,0.002055793837910262,36.0,0.4512825907061705,0.38048034434567635,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",grad_rate,Four year graduation rate (percent),13.74824730766207,6.428805101546653,1.1480208450032645,26.348473770320872,0.032473061755617705,36.0,0.49908763394405276,0.3738595424300659,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",grad_rate,Four year graduation rate (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,ela_proficient_pct,ELA proficiency (percent),2.1026167646148997,10.106891212491984,-17.706526007533746,21.911759536763547,0.8351993484063309,38.0,0.0008128960590686463,-0.02694230127262376,
2,Plus poverty,Direct certification rate (percent),ela_proficient_pct,ELA proficiency (percent),14.675501497313434,14.39620689767576,-13.54054553611816,42.89154853074503,0.3080128363274157,38.0,0.7027409121818912,0.685754678592285,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",ela_proficient_pct,ELA proficiency (percent),20.903300971750614,11.116382248620685,-0.8844078739263104,42.69100981742754,0.06005290007633573,36.0,0.7678617504746407,0.7379084279552395,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",ela_proficient_pct,ELA proficiency (percent),15.888812509096901,15.304699202149227,-14.107846721334482,45.885471739528285,0.29919295641582966,36.0,0.8230504105856523,0.7788130132320654,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",ela_proficient_pct,ELA proficiency (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,math_proficient_pct,Math proficiency (percent),4.6936220228889125,8.253279681772668,-11.482508907721712,20.86975295349954,0.5695612390077927,38.0,0.007953103475950352,-0.019603754760828762,
2,Plus poverty,Direct certification rate (percent),math_proficient_pct,Math proficiency (percent),13.330690497339148,11.660125374924613,-9.522735292734687,36.184116287412984,0.25292583178687544,38.0,0.6583239551292932,0.6387996097081099,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",math_proficient_pct,Math proficiency (percent),25.332005288871123,8.7640491763307,8.154784544525025,42.50922603321722,0.0038469639810024465,36.0,0.7301910931558913,0.6953770406598772,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",math_proficient_pct,Math proficiency (percent),23.10502254055744,8.494713294042473,6.4556904252405864,39.754354655874295,0.006529580673569692,36.0,0.7901854408669091,0.7377318010836365,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",math_proficient_pct,Math proficiency (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,chronic_absent_pct,Chronic absenteeism (percent),-12.107343025054057,6.302830175983802,-24.46066317065456,0.2459771205464456,0.05473958370672758,38.0,0.07796385221629565,0.05235173700008178,
2,Plus poverty,Direct certification rate (percent),chronic_absent_pct,Chronic absenteeism (percent),-19.128278388658025,4.1863713576820345,-27.33341547562486,-10.923141301691189,4.896394209677791e-06,38.0,0.7110947110732647,0.6945858374203084,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",chronic_absent_pct,Chronic absenteeism (percent),-19.156487026587975,6.361438077780646,-31.62467654891975,-6.688297504256198,0.002600928464117656,36.0,0.7118214358524442,0.674637104994695,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",chronic_absent_pct,Chronic absenteeism (percent),-13.687237220743597,7.910347088503568,-29.191232619421868,1.8167581779346715,0.08357751006964048,36.0,0.7816193796783315,0.7270242245979144,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",chronic_absent_pct,Chronic absenteeism (percent),,,,,,,,,"not identified, every school with a start time is in one district"
