model_number,specification,controls,outcome,outcome_label,coefficient,std_error,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,note
1,Unadjusted,none,act_composite,ACT composite score,0.7957265697466567,1.1900762697673097,-1.6178599736776031,3.2093131131709165,0.5079934397294739,38.0,0.009567088689749537,-0.01794493662442398,
2,Plus poverty,Direct certification rate (percent),act_composite,ACT composite score,2.191535572911183,1.483170034541675,-0.8194596731552002,5.202530818977566,0.1484571510945295,38.0,0.720472807057463,0.7044998246036036,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",act_composite,ACT composite score,3.4931965506106497,1.1947813611855809,1.0564238989688626,5.929969202252437,0.006410481584223678,36.0,0.7712257406616903,0.7417064813922309,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",act_composite,ACT composite score,2.929216739052208,1.1991295564997224,0.47291119158041095,5.385522286524005,0.021140396941611735,36.0,0.849827284063511,0.8122841050793888,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",act_composite,ACT composite score,,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,grad_rate,Four year graduation rate (percent),6.34610330960486,2.641614425758693,0.9886609398202673,11.703545679389453,0.021572010824439374,38.0,0.08072576284300548,0.055190367366422355,
2,Plus poverty,Direct certification rate (percent),grad_rate,Four year graduation rate (percent),8.939767017063717,2.8370444845996876,3.180260516078995,14.69927351804844,0.0033255982569210716,38.0,0.4063623156357642,0.37244016224352217,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",grad_rate,Four year graduation rate (percent),15.449015403067488,5.012575633951784,5.225799996543859,25.672230809591117,0.004290840305305367,36.0,0.4512825907061705,0.38048034434567646,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",grad_rate,Four year graduation rate (percent),13.748247307343263,6.428805101358155,0.5794370245115079,26.91705759017502,0.04133784955327923,36.0,0.4990876339440531,0.37385954243006636,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",grad_rate,Four year graduation rate (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,ela_proficient_pct,ELA proficiency (percent),2.1026167646074674,10.106891212497661,-18.395108672020957,22.600342201235893,0.8363718509862887,38.0,0.0008128960590686463,-0.02694230127262376,
2,Plus poverty,Direct certification rate (percent),ela_proficient_pct,ELA proficiency (percent),14.675501497320656,14.39620689753747,-14.550352262102376,43.901355256743685,0.3150078945637431,38.0,0.702740912181891,0.6857546785922848,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",ela_proficient_pct,ELA proficiency (percent),20.90330097154492,11.116382248376645,-1.768710099301508,43.575312042391346,0.06947759784287835,36.0,0.7678617504746407,0.7379084279552395,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",ela_proficient_pct,ELA proficiency (percent),15.888812508777846,15.304699201535989,-15.46144263867647,47.239067656232166,0.3080756159672141,36.0,0.8230504105856522,0.7788130132320652,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",ela_proficient_pct,ELA proficiency (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,math_proficient_pct,Math proficiency (percent),4.693622022886937,8.253279681778071,-12.044804988140918,21.432049033914794,0.573092173382652,38.0,0.007953103475950352,-0.019603754760828984,
2,Plus poverty,Direct certification rate (percent),math_proficient_pct,Math proficiency (percent),13.330690497306389,11.660125374809022,-10.340622470486363,37.002003465099136,0.26068576706588953,38.0,0.6583239551292933,0.6387996097081101,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",math_proficient_pct,Math proficiency (percent),25.3320052884644,8.764049176194817,7.45760914873577,43.20640142819303,0.006966883749398798,36.0,0.7301910931558915,0.6953770406598775,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",math_proficient_pct,Math proficiency (percent),23.105022539888523,8.494713293830733,5.704391161302635,40.50565391847441,0.011090473810952376,36.0,0.7901854408669091,0.7377318010836365,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",math_proficient_pct,Math proficiency (percent),,,,,,,,,"not identified, every school with a start time is in one district"
1,Unadjusted,none,chronic_absent_pct,Chronic absenteeism (percent),-12.107343025066822,6.302830175990865,-24.89007509419238,0.6753890440587362,0.06268647730381968,38.0,0.07796385221629532,0.05235173700008133,
2,Plus poverty,Direct certification rate (percent),chronic_absent_pct,Chronic absenteeism (percent),-19.128278388502387,4.186371357626459,-27.627064072219998,-10.629492704784777,5.850950159785829e-05,38.0,0.7110947110732647,0.6945858374203084,
3,Plus size and English learners,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",chronic_absent_pct,Chronic absenteeism (percent),-19.156487026099057,6.361438077704046,-32.13072552399453,-6.1822485282035835,0.005138715890359398,36.0,0.7118214358524442,0.6746371049946951,
4,Plus locale,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",chronic_absent_pct,Chronic absenteeism (percent),-13.68723722030154,7.9103470883574145,-29.890848690172096,2.516374249569015,0.09458691085338379,36.0,0.7816193796783313,0.7270242245979142,
5,Plus district fixed effects,"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",chronic_absent_pct,Chronic absenteeism (percent),,,,,,,,,"not identified, every school with a start time is in one district"
