variable,label,n_present,n_missing,mean,std_dev,minimum,median,maximum
start_minutes,start_minutes,425,2,498.34823529411767,22.980429593115286,435.0,495.0,590.0
start_hours,Start time (per hour later),425,2,8.305803921568627,0.38300715988525474,7.25,8.25,9.833333333333334
grad_rate,Four year graduation rate (percent),423,4,78.49905437352244,15.180066096253006,8.1,78.6,100.0
advanced_regents_pct,Advanced Regents diploma rate (percent),423,4,13.721513002364066,21.50876346427826,0.0,4.6,98.0
attendance_rate,Attendance rate (percent),425,2,86.76470588235294,6.1457284191901715,53.0,87.0,98.0
college_career_rate,College and career readiness (percent),384,43,59.283854166666664,18.895207779027455,15.0,56.99999999999999,100.0
dropout_pct,Dropout rate (percent),423,4,7.587706855791962,7.061523149010065,0.0,6.0,48.4
poverty_pct,Student poverty,427,0,75.16229508196722,16.745942185997173,18.1,79.5,99.8
el_pct,English learners (percent),427,0,14.19016393442623,18.93944629680077,0.0,8.200000000000001,95.8
swd_pct,Students with disabilities (percent),427,0,19.52060889929742,7.472965146384369,0.0,20.0,41.8
enrollment,enrollment,427,0,697.4941451990633,760.4603108350311,105.0,456.0,5937.0
applicants_per_seat,Applicants per seat,411,16,9.78588807785888,10.312336697994724,1.0,6.0,69.0
