model_number,specification,controls,outcome,outcome_label,coefficient,std_error,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,note
1,Unadjusted (exam and audition schools dropped),none,grad_rate,Four year graduation rate (percent),-0.47540281270467993,1.9859112701096056,-4.388306887106628,3.4375012616972684,0.811018123400524,396,0.00015362052698197903,-0.002384060639193164,
2,Plus poverty (exam and audition schools dropped),Economic Need Index (percent),grad_rate,Four year graduation rate (percent),-0.043552921943460526,1.6659406984991578,-3.326008812588367,3.2389029687014457,0.9791658359691785,396,0.2982533148966179,0.29468208494698234,
3,"Plus size, English learners, disability (exam and audition schools dropped)","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",grad_rate,Four year graduation rate (percent),-0.19418072383328067,1.5788238435693804,-3.304987507222254,2.9166260595556928,0.9022218291756701,396,0.4552165006228084,0.44823209678463927,
4,Plus borough fixed effects (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",grad_rate,Four year graduation rate (percent),-0.3260283199619367,1.5996037461445909,-3.4777784056404073,2.8257217657165334,0.8386758090862176,396,0.4739626236851521,0.4616975035120079,
5,Plus admissions selectivity (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",grad_rate,Four year graduation rate (percent),1.2394202365144373,1.2762655474534554,-1.275422114790056,3.7542625878189306,0.3325169928406013,389,0.6408013355022515,0.6283491151329963,
1,Unadjusted (exam and audition schools dropped),none,advanced_regents_pct,Advanced Regents diploma rate (percent),-4.247791518342357,2.472022431870778,-9.118495860105988,0.6229128234212729,0.08707910248933193,396,0.007803406967305082,0.005285141502755164,
2,Plus poverty (exam and audition schools dropped),Economic Need Index (percent),advanced_regents_pct,Advanced Regents diploma rate (percent),-3.745965423601154,2.244982336614532,-8.16932545187401,0.6773946046717025,0.09655843238917894,396,0.2639181017977664,0.2601721379392309,
3,"Plus size, English learners, disability (exam and audition schools dropped)","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",advanced_regents_pct,Advanced Regents diploma rate (percent),-4.2888803966086435,1.923602009654686,-8.079014555366994,-0.4987462378502934,0.026739782761736924,396,0.3714238836586523,0.3633652155004299,
4,Plus borough fixed effects (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",advanced_regents_pct,Advanced Regents diploma rate (percent),-4.5348262553935506,2.0548593349836812,-8.583580892722718,-0.4860716180643818,0.02831114660398059,396,0.38588686619044965,0.3715681661793462,
5,Plus admissions selectivity (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",advanced_regents_pct,Advanced Regents diploma rate (percent),-4.880788491486074,2.0849677199703676,-8.989153818550164,-0.7724231644219826,0.020101957954829674,389,0.4748741690870222,0.4566698069487056,
1,Unadjusted (exam and audition schools dropped),none,attendance_rate,Attendance rate (percent),-0.8945343936742844,0.8073965899807448,-2.485337123663747,0.6962683363151783,0.269046719960492,398,0.003386222357980806,0.0008695208992889336,
2,Plus poverty (exam and audition schools dropped),Economic Need Index (percent),attendance_rate,Attendance rate (percent),-0.7095851205006197,0.7059603181341021,-2.1005293173032618,0.6813590763020224,0.3158837687699745,398,0.2927576227320041,0.2891766486698877,
3,"Plus size, English learners, disability (exam and audition schools dropped)","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",attendance_rate,Attendance rate (percent),-0.9450302253430591,0.6254829895685707,-2.1774110152983184,0.2873505646122003,0.1321855437722681,398,0.4785421506815689,0.4718909026035276,
4,Plus borough fixed effects (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",attendance_rate,Attendance rate (percent),-1.1243562734577726,0.6481839799112492,-2.4014645218377186,0.1527519749221733,0.08414110944398119,398,0.4897641153499357,0.47792874689155795,
5,Plus admissions selectivity (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",attendance_rate,Attendance rate (percent),-0.47172201894289145,0.45747470787404854,-1.3731407943148577,0.4296967564290749,0.3035661522004075,391,0.6670886372913739,0.6556089351290075,
1,Unadjusted (exam and audition schools dropped),none,college_career_rate,College and career readiness (percent),4.5539201433125704,2.590029324318076,-0.5507831589460102,9.658623445571152,0.08010818392241659,359,0.008615246093073847,0.00583825798689197,
2,Plus poverty (exam and audition schools dropped),Economic Need Index (percent),college_career_rate,College and career readiness (percent),6.116251663774386,1.9335704980076454,2.3053667391690897,9.927136588379682,0.001782902119355527,359,0.39989888787742045,0.39652753331493396,
3,"Plus size, English learners, disability (exam and audition schools dropped)","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",college_career_rate,College and career readiness (percent),5.506046894314164,1.781705994598152,1.9944725700837913,9.017621218544535,0.0022598782271523775,359,0.5382870526162395,0.5317472091688775,
4,Plus borough fixed effects (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",college_career_rate,College and career readiness (percent),4.691785226719462,1.6395632183687587,1.460360896312587,7.923209557126338,0.004625384064788362,359,0.5689694136923055,0.5578540117531385,
5,Plus admissions selectivity (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",college_career_rate,College and career readiness (percent),4.331901436358345,1.6605644668938593,1.0587441215899758,7.605058751126714,0.009729754236582662,352,0.6504525167077067,0.6380791544672715,
1,Unadjusted (exam and audition schools dropped),none,dropout_pct,Dropout rate (percent),-0.5436576803761336,0.779995447390163,-2.0805074933788528,0.9931921326265855,0.4865059896041761,396,0.0008967297384103734,-0.0016390653637763375,
2,Plus poverty (exam and audition schools dropped),Economic Need Index (percent),dropout_pct,Dropout rate (percent),-0.7474740546072699,0.6357056596142802,-2.0000251141960543,0.5050770049815144,0.2408833293404763,396,0.2972834939576602,0.29370732853250825,
3,"Plus size, English learners, disability (exam and audition schools dropped)","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",dropout_pct,Dropout rate (percent),-0.6745483808821878,0.6096123069549997,-1.875686878655121,0.5265901168907453,0.2696573704744306,396,0.4360704246871153,0.4288405583369501,
4,Plus borough fixed effects (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",dropout_pct,Dropout rate (percent),-0.5826026465086194,0.6230536461504542,-1.8102250419737238,0.6450197489564851,0.3507297238549131,396,0.4521441755949863,0.43937033512958446,
5,Plus admissions selectivity (exam and audition schools dropped),"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",dropout_pct,Dropout rate (percent),-1.2188856866472069,0.6062078487063594,-2.413399770853133,-0.024371602441280782,0.045542859283783155,389,0.56879574996708,0.5538473359659388,
