poverty_band,outcome,outcome_label,n_early,n_late,mean_early,mean_late,difference_late_minus_early,ci_low,ci_high,p_value,note
Lowest poverty,grad_rate,Four year graduation rate (percent),35,25,94.36571428571428,94.456,0.09028571428572718,-3.1659893681326903,3.3465607967041446,0.9557379363543689,
Lower middle,grad_rate,Four year graduation rate (percent),25,33,87.62,86.66363636363637,-0.9563636363636334,-5.738403810870923,3.8256765381436564,0.6889254289482396,
Upper middle,grad_rate,Four year graduation rate (percent),67,104,76.4089552238806,78.63942307692308,2.2304678530424837,-1.3381588432099005,5.799094549294868,0.21895707979788892,
Highest poverty,grad_rate,Four year graduation rate (percent),57,75,69.66842105263157,68.18,-1.4884210526315655,-6.526218366998717,3.5493762617355857,0.5598804327234872,
Lowest poverty,advanced_regents_pct,Advanced Regents diploma rate (percent),35,25,47.69142857142857,37.312,-10.37942857142857,-27.641286347360122,6.882429204502984,0.23258913240177748,
Lower middle,advanced_regents_pct,Advanced Regents diploma rate (percent),25,33,21.424,17.163636363636368,-4.260363636363632,-15.069112097653008,6.548384824925744,0.4330753622936042,
Upper middle,advanced_regents_pct,Advanced Regents diploma rate (percent),67,104,8.950746268656715,8.08173076923077,-0.8690154994259451,-5.055800966347886,3.3177699674959955,0.6818318679316118,
Highest poverty,advanced_regents_pct,Advanced Regents diploma rate (percent),57,75,4.852631578947369,5.017333333333333,0.16470175438596435,-2.8438456779078094,3.173249186679738,0.9138874346255761,
Lowest poverty,attendance_rate,Attendance rate (percent),35,25,93.57142857142857,93.44,-0.13142857142857167,-1.8313777706774812,1.5685206278203379,0.876973393533287,
Lower middle,attendance_rate,Attendance rate (percent),25,33,90.8,89.39393939393939,-1.4060606060606062,-3.2933756609634317,0.48125444884221946,0.14088525978411148,
Upper middle,attendance_rate,Attendance rate (percent),67,106,86.26865671641791,86.33018867924528,0.06153196282737383,-1.3279516471933746,1.4510155728481222,0.9304211346747917,
Highest poverty,attendance_rate,Attendance rate (percent),57,75,83.54385964912281,82.69333333333333,-0.8505263157894802,-2.979925200586107,1.2788725690071465,0.43079353005769294,
Lowest poverty,college_career_rate,College and career readiness (percent),34,24,82.76470588235294,83.875,1.110294117647058,-5.4555327770501565,7.6761210123442725,0.7357319477401593,
Lower middle,college_career_rate,College and career readiness (percent),24,26,69.04166666666667,72.92307692307692,3.8814102564102484,-3.475880263773667,11.238700776594165,0.29281884068015096,
Upper middle,college_career_rate,College and career readiness (percent),64,87,50.734375,59.48275862068966,8.748383620689658,3.6908002421836708,13.805966999195647,0.0008432127861111126,
Highest poverty,college_career_rate,College and career readiness (percent),55,69,45.2,49.869565217391305,4.669565217391302,-0.3437020860441411,9.682832520826745,0.06761207170918103,
Lowest poverty,dropout_pct,Dropout rate (percent),35,25,1.1828571428571426,0.68,-0.5028571428571426,-1.1340356482658485,0.12832136255156323,0.11616145405912048,
Lower middle,dropout_pct,Dropout rate (percent),25,33,3.3160000000000003,2.742424242424242,-0.5735757575757581,-1.9959362560987215,0.8487847409472054,0.4203194985484694,
Upper middle,dropout_pct,Dropout rate (percent),67,104,8.823880597014925,7.150961538461539,-1.6729190585533864,-3.4413890403464054,0.09555092323963232,0.06355172645215419,
Highest poverty,dropout_pct,Dropout rate (percent),57,75,11.53157894736842,12.62,1.0884210526315794,-1.5482960951128177,3.7251382003759765,0.4155040805925524,
