district,url,depth,status,reason,candidates_found
Carson City,https://www.carsoncityschools.com/,0,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/our-district/about-us,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/academic-standards-and-assessments,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/behavior-and-dicipline,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/bullying-and-cyberbullying,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/calendars,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/care-solace,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/diploma-seals,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/air-quality,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/parentsquare,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/safevoice,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/student-accident-insurance,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/student-registration,1,cached,served from local cache,0
Carson City,https://www.carsoncityschools.com/families-and-students/variances,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/,0,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/staff/general-information/salary-schedules-negotiated-agreements,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/schedule-a-visit,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/bookstore,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/our-district/our-schools,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/register-for-school-24-25-school-year,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/kindergarten-registration,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/back-to-school-information,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/free-reduced-meal-program,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/variance-requests,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/adult-eductionliteracy-and-learning-center,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/churchill-online-learning,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/general-information/2025-youth-risk-behavior-survey-yrbs,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/student-resources,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/student-resources/chromebook-connectivity,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/student-resources/district-student-handbook-english-spanish,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/student-resources/21st-century-after-school-program,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/parentsquare,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/family-engagement-volunteering,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/military-families,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/students-in-transition-sit,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/title-vi-indian-education-program,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/care-solace,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/parentguidanceorg,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/ccms-counseling-department,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/cchs-counseling-department,1,cached,served from local cache,0
Churchill,https://www.churchillcsd.com/families-students/family-resources/infinite-campus-resource-page,1,cached,served from local cache,0
Clark,https://www.ccsd.net/schools/,0,cached,served from local cache,0
Clark,https://www.ccsd.net/about,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/leadership-team,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/strategic-plan,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/superintendent,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/open-book,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/operation-destination-district,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/podcast,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/careers,1,cached,served from local cache,0
Clark,https://www.ccsd.net/about/newsroom,1,cached,served from local cache,0
Clark,https://www.ccsd.net/fs/resource-manager/view/b176dcd0-42a6-4a64-956f-c697480f804f,2,error,not HTML: application/pdf,0
Clark,https://www.ccsd.net/students,1,cached,served from local cache,0
Clark,https://www.ccsd.net/fs/resource-manager/view/e10e644a-8d6a-4368-a13d-e5f6caa41773,2,error,not HTML: application/pdf,0
Clark,https://www.ccsd.net/fs/resource-manager/view/eacbd6d3-bee0-46e7-acfb-14c19b54e03f,2,error,not HTML: application/pdf,0
Clark,https://www.ccsd.net/about/school-board/policies-and-regulations,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/contact,2,cached,served from local cache,0
Clark,https://www.ccsd.net/fs/pages/1077,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/emily-stevens/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/irene-bustamante-adams,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/lydia-dominguez/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/isaac-barron/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/lorena-biassotti/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/linda-p-cavazos/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/ramona-esparza-stoffregan/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/tameka-henry,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/adam-johnson/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/lisa-satory/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/brenda-zamora/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/ccsd-destination-district-community-dream-sessions/,2,cached,served from local cache,0
Douglas,https://www.dcsd.net/,0,cached,served from local cache,0
Douglas,https://www.dcsd.net/careers/salary-schedules,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/portrait,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about,1,cached,served from local cache,0
